1: 1: コロナ禍のmake you happy は名曲でした。 | Sentiment: None
2: 2: i am so confused why there is no reol song or vocaloid stuff? | Sentiment: None
3: 3: なんでnarutoのsignあるんですかね？というか…yoasobiと米須玄師（ハチ）ばっかじゃん | Sentiment: negative
4: 4: bro you gotta hear flamingo | Sentiment: None
5: 5: 12:19 i want to let it be known i am probably 50% of the veiws | Sentiment: negative
6: 6: no yui&#39;s song 😢 | Sentiment: None
7: 7: 日本の曲を楽しんでくれてありがとう！アニメソングは、アニメのシナリオを題材に歌詞が書かれていたり、主人公の心情を歌ってることも多いから、気になったら翻訳してみてほしい☺また旅行に来た時には、思いきり日本を楽しんでね🥰 | Sentiment: negative
8: 8: i can&#39;t believe orange 7 isn&#39;t on the list | Sentiment: None
9: 9: 29:48 his face help lolll 😂 | Sentiment: None
10: 10: i’m so glad we’re back, i’ve been keeping a special eye on your discord for a year since the last update 🩵 | Sentiment: positive
11: 11: one ok rock the best band in japan for me | Sentiment: None
12: 12: keep those lips sealed or im bout to blow | Sentiment: None
13: 13: stop glazing | Sentiment: negative
14: 14: where link? | Sentiment: positive
15: 15: the fuck where is suzume. | Sentiment: None
16: 16: ニック大好きです ❤(ӧｖӧ｡)是非アメリカの曲トップ100のレビューもお願いします！見てみたーい！知りたい♪ | Sentiment: negative
17: 17: so glad that peace sign and inferno made the top 20 | Sentiment: None
18: 18: their best songs come from some of the most complex emotions, and tempered by cultural norms and expectations. it was truly unleashed with vocaloids, where anyone with a computer can express themselves through songs that cover everything from love and loss to madness and isolation, as well as mundane things like your pudding dying (爆砕プリン) or last-minute assignments, virtually anonymously, | Sentiment: positive
19: 19: yoasobi supremacy | Sentiment: negative
20: 20: 2:43 tracing that dream in 91 is diabolical, this deserves better😭🙏 | Sentiment: None
21: 21: i can&#39;t believe there&#39;s no one ok rock, nano, my first story 😭😭 | Sentiment: positive
22: 22: 4:41 he knows peak | Sentiment: None
23: 23: utada hikaru and mayumi itsuwa is a legend | Sentiment: negative
24: 24: 急なppapおもろすぎ | Sentiment: None
25: 25: i&#39;m heartbroken that &quot;chicken attack&quot; did not made into the list. | Sentiment: negative
26: 26: 黄猿ってコメントした人、面白すぎるw | Sentiment: None
27: 27: why there is no spyair and burnout syndrome?? | Sentiment: None
28: 28: was bro complaining about tokyo drift like that song isnt amazing | Sentiment: positive
29: 29: wheres the baby metal react lol | Sentiment: None
30: 30: 15:08 definitely yeah 🤣🤣🤣 | Sentiment: None
31: 31: someone in japan made a video of you reacting to this and added translations, everyone thinks your reaction to ppap is hilarious ahahah got like 400k views 😂 | Sentiment: None
32: 32: ppapはジャスティンビーバーが生んだんだよ😂 | Sentiment: None
33: 33: 米津玄師がストリーミングサービスを開始したのが2020年だからピースサインとかloserは後から配信されたって考えるとこの順位にいるのヤバいな | Sentiment: negative
34: 34: where&#39;s myth&amp;roid man | Sentiment: positive
35: 35: 26:14 just learn japanese man, it really isn&#39;t that hard | Sentiment: positive
36: 36: more ado | Sentiment: None
37: 37: とても良い動画です！ | Sentiment: negative
38: yoasobi をトップに!!!! | Sentiment: negative
39: 38: brother i think your reactions are so fake that i started to believe in santa again thx so much | Sentiment: None
40: 39: for me, aimyon is the best japanese female singer and songwriter rn | Sentiment: None
41: 40: bro american is scam bro a scam boring place and they will never let asian take over on their chart | Sentiment: None
42: 41: then you see that he reacts the you are my specialz then he said he loved it who the hell is that reaction getting bias | Sentiment: None
43: 42: nahh bros cant handle such bloody song like you are my specialz | Sentiment: positive
44: 43: he might love wagakki band | Sentiment: positive
45: 44: listening to all of these song about to make me have an eargasm | Sentiment: None
46: 45: chat, i sang along with 80% of the songs in this list. am i cooked? | Sentiment: negative
47: 46: japan loves lemon so much that they actually hold a party annually to celebrate it. go search lemon party if you are curious. | Sentiment: negative
48: 47: 06:24 is just more killing it after you watch the live action.it makes my heart feels empty | Sentiment: negative
49: 48: stay with me has to better ranking it has to be atleast 20 and where is the flyday chinatown, i cant stop loneliness ,duvet ,suki suki daisuki, remember summer day, fantasy ,bay city,4 am, and some others that i cant remember | Sentiment: None
50: 49: where the fuck fireworks? | Sentiment: positive
51: 50: asían kung fu generation??😢 | Sentiment: None
52: 51: im japanese and i just wanna say we all love u men | Sentiment: positive
53: 52: ppap黄猿って言われてて草 | Sentiment: negative
54: 53: you just need to move to japan atp | Sentiment: negative
55: 54: kick back was inspired by a song call souda! we&#39;re alive by morning musume. the doryoku mirai a beautiful star was literally taken from that song. | Sentiment: positive
56: 55: im genuinely quite surprised that zutomayo didnt appear once in that list | Sentiment: positive
57: 56: where is suzume bro? my favorite song just got hard disrespected. | Sentiment: positive
58: 57: bro im now 19 and i didn&#39;t first love was a japanese song💀 | Sentiment: positive
59: 58: really wierd that there is no flow song on the list | Sentiment: positive
60: 59: не считая 4 и 5 места - всё остальное хорошо) | Sentiment: negative
61: 60: liked the vid when you said you didn&#39;t like specialz | Sentiment: None
62: 61: mass of the fermenting dregs world is yours album please react on this ❤❤❤❤❤❤ | Sentiment: None
63: 62: 18:55 cute | Sentiment: negative
64: 63: 修正版のトップ200が出ているので、そちらもよければ是非見てください‼︎ランキングめっちゃ変動してますよ！ | Sentiment: negative
65: 64: at least its most played songs not most liked lol | Sentiment: None
66: 65: fyi, &quot;back number&quot; was called &quot;the king of broken heart&quot; because their song was sooo heartbroken with a nice touch on the lyric that hits your heart. | Sentiment: None
67: 66: 2:38 relate broo, i live in country where the 99.9% politicians is corrupt where our tax money didn&#39;t even used to atleast make road better right now every single roads have street holes | Sentiment: None
68: 67: shinunaga iiwaa😭 | Sentiment: negative
69: 68: bro i&#39;m waiting for your vlog video in japan, i think you will look like an embarrassing baaka on the streets of japan.wkwkwkw | Sentiment: positive
70: 69: meh, you should read the lyric and meaning behind lemon. lemon is peak with the story behind, try it before it tooo latee!!!! | Sentiment: None
71: 70: specialz?? where are jjk fans pls 19:48 | Sentiment: negative
72: 71: 14:52 nic: can i get aoi ! aoi!chat: aoi! aoi!!singer: shiroi, shiroi !! | Sentiment: negative
73: 72: kenshi gives me chills in a good way | Sentiment: positive
74: 73: wht? i thought idol was the most streamed japanese song | Sentiment: positive
75: 74: where can i find the actual video? | Sentiment: None
76: 75: 30:22 this ppap song was a trend long time ago that many people and even artists do this, it&#39;s quite funny and also brainwashed | Sentiment: None
77: 76: 23:30 for your information, niziu was a jpop group under korean entertainment company called jyp entertainmentyou should try listen some of their songs | Sentiment: None
78: 77: i&#39;m surprised crying for rain is just at 43. i thought it would be at least at top 20 or so | Sentiment: None
79: 78: hi | Sentiment: positive
80: i&#39;d like you to take a look at “rydeen reboot” | Sentiment: None
81: i don&#39;t know what you think of it, but it might interest some of you. | Sentiment: None
82: 79: 9:36 can someone translate number 68, the title and band | Sentiment: None
83: 80: yuika in 100.... not expecti g | Sentiment: None
84: 81: sad that oddloop isn’t in it | Sentiment: negative
85: 82: yo during the 32nd song bro looked like he went braindead or something haha | Sentiment: None
86: 83: gua sih yah mutusin buat make x cuman buat dapet info aja soal hal yg gua sukain | Sentiment: None
87: 84: number 91 my personal favorite yoasobi song | Sentiment: positive
88: 85: ese final fue muy duro para todos jajajajaj | Sentiment: negative
89: 86: bro not knowing masaki suda is crime... it&#39;s the ranking top 66 guy i&#39;m talking abt btw... he&#39;s one of the best artist and actor in japan | Sentiment: None
90: 87: i&#39;m invincible is my favorite song by them | Sentiment: negative
91: 88: well, not the 100 songs most played in japan, but the 100 japanese songs most played around the world hahaha | Sentiment: None
92: 89: were are asian kung fuu ? | Sentiment: negative
93: 90: his face while listening to unravel got me. | Sentiment: negative
94: 91: the amount of anime songs here is kinda wild. imagine that over here. “among the 100 most listened songs is everything miley cyrus, michael jackson still, the most recent ed sheeran, gravity falls op, powerpuff girls op, samurai jack op, gravity falls wierdmaggedon op, owl house op”lol | Sentiment: None
95: 92: ppapクソワロタwwwwwww | Sentiment: negative
