1: 1: コロナ禍のmake you happy は名曲でした。 | Sentiment: 5 stars | Score: 0.33
2: 2: i am so confused why there is no reol song or vocaloid stuff? | Sentiment: 2 stars | Score: 0.51
3: 3: なんでnarutoのsignあるんですかね？というか…yoasobiと米須玄師（ハチ）ばっかじゃん | Sentiment: 3 stars | Score: 0.37
4: 4: bro you gotta hear flamingo | Sentiment: 4 stars | Score: 0.31
5: 5: 12:19 i want to let it be known i am probably 50% of the veiws | Sentiment: 2 stars | Score: 0.32
6: 6: no yui&#39;s song 😢 | Sentiment: 3 stars | Score: 0.26
7: 7: 日本の曲を楽しんでくれてありがとう！アニメソングは、アニメのシナリオを題材に歌詞が書かれていたり、主人公の心情を歌ってることも多いから、気になったら翻訳してみてほしい☺また旅行に来た時には、思いきり日本を楽しんでね🥰 | Sentiment: 5 stars | Score: 0.35
8: 8: i can&#39;t believe orange 7 isn&#39;t on the list | Sentiment: 1 star | Score: 0.48
9: 9: 29:48 his face help lolll 😂 | Sentiment: 5 stars | Score: 0.28
10: 10: i’m so glad we’re back, i’ve been keeping a special eye on your discord for a year since the last update 🩵 | Sentiment: 5 stars | Score: 0.66
11: 11: one ok rock the best band in japan for me | Sentiment: 5 stars | Score: 0.61
12: 12: keep those lips sealed or im bout to blow | Sentiment: 1 star | Score: 0.29
13: 13: stop glazing | Sentiment: 1 star | Score: 0.38
14: 14: where link? | Sentiment: 3 stars | Score: 0.26
15: 15: the fuck where is suzume. | Sentiment: 1 star | Score: 0.48
16: 16: ニック大好きです ❤(ӧｖӧ｡)是非アメリカの曲トップ100のレビューもお願いします！見てみたーい！知りたい♪ | Sentiment: 5 stars | Score: 0.70
17: 17: so glad that peace sign and inferno made the top 20 | Sentiment: 5 stars | Score: 0.75
18: 18: their best songs come from some of the most complex emotions, and tempered by cultural norms and expectations. it was truly unleashed with vocaloids, where anyone with a computer can express themselves through songs that cover everything from love and loss to madness and isolation, as well as mundane things like your pudding dying (爆砕プリン) or last-minute assignments, virtually anonymously, | Sentiment: 5 stars | Score: 0.75
19: 19: yoasobi supremacy | Sentiment: 5 stars | Score: 0.39
20: 20: 2:43 tracing that dream in 91 is diabolical, this deserves better😭🙏 | Sentiment: 5 stars | Score: 0.80
