1: 1: ебаный пот рома жёлудь тут че забыл | Sentiment: neutral | Score: 0.0
2: 2: where the hell is baby shark on this list? | Sentiment: negative | Score: -0.6808
3: 3: 6:26 i think we all did man.so many of these are actually such iconic bangers though | Sentiment: neutral | Score: 0.0
4: 4: 9:06 sadly, that song was made low quality on purpose (parody/comedy music), but the people in that time didn&#39;t get the humor and tought it was made in serious. now colibritany an her music is an internet classic, my favorite one is &quot;mami silicon&quot; or &quot;silicon babe&quot; | Sentiment: positive | Score: 0.5789
5: 5: aka top 10 disliked justin bieber songs | Sentiment: negative | Score: -0.2263
6: 6: wehren is wap bap from bibi | Sentiment: neutral | Score: 0.0
7: 7: as a spaniard, i must tell you that “pollito pío” came out before “i wanna ride,” 12 years earlier to be exact. | Sentiment: neutral | Score: 0.0
8: 8: this whole list is fake and bs none of the songs are the most disliked | Sentiment: negative | Score: -0.7264
9: 9: baby is still bad dude. | Sentiment: negative | Score: -0.5423
10: 10: 4:35 , he is right, its a banger &quot;untouchable, untouchableee&quot; but just that part, the rest of the song is ragebait | Sentiment: neutral | Score: 0.0
11: 11: most songs are disliked because they have many views, but margin of like to dislike is hudge | Sentiment: negative | Score: -0.2805
12: 12: the man who made the original video is definitely a justin bieber hater. | Sentiment: positive | Score: 0.296
13: 13: dont fucking @ me... justin bieber got way better after he got away from the heart throb kid image that was forced on him. love yourself, sorry, stay, ghost, peaches etc... all bangers. | Sentiment: positive | Score: 0.7717
14: 14: i got leafy flashbacks at 8:30 lmao | Sentiment: positive | Score: 0.5994
15: 15: i hate all of them, i was definitely part of the dislikes | Sentiment: negative | Score: -0.5719
16: 16: justin bieber really got better with age his newer stuff is brilliant | Sentiment: positive | Score: 0.7893
17: 17: 6:29 this thing is violating my ears 😭 | Sentiment: negative | Score: -0.765
18: 18: i will never get justin bieber hatethis dude is so talented and have so many great songs | Sentiment: positive | Score: 0.8631
19: 19: bro just put the most known songs in the video and called them disliked? | Sentiment: negative | Score: -0.4019
20: 20: since it&#39;s just saying &quot;most disliked&quot; it&#39;s just going off the raw amount, not the ratio. if every song had 99% likes, &quot;most disliked&quot; just means &quot;most viewed&quot;. ratio is what really matters. but popularity still matters since there&#39;d be plenty 100% disliked songs that have no views. so what these compilations should really be is &quot;most popular disliked songs&quot;. a.k.a &quot;most popular songs that are ratio&#39;d&quot;. (over 50% dislikes) a.k.a &quot;the most disliked songs, that are actually disliked&quot; (take your pick) | Sentiment: negative | Score: -0.5019
21: 21: e | Sentiment: neutral | Score: 0.0
22: 22: brazilian songs in the list (we&#39;re kinda annoying 😭😭) musicas brasileiras na lista 01:09 metralhadora - vingadora (tays)01:27 baile de favela - mc joão04:50 tá tranquilo ta favorável - mc bin laden05:25 nhemnhem - maisa08:17 bang - anitta | Sentiment: negative | Score: -0.8097
23: 23: this list wasnt accurate | Sentiment: neutral | Score: 0.0
